problem_id,problem_title,problem_info,problem_answer_num,problem_submit_num,problem_answer_rate
1000,A+B,다국어,257995,925751,39.953
1001,A-B,,220129,378852,70.162
1002,터렛,,34142,200019,22.403
1003,피보나치 함수,,47315,199262,32.666
1004,어린 왕자,,14065,37494,45.718
1005,ACM Craft,,12197,67569,27.863
1006,습격자 초라기,,1877,16923,19.599
1007,벡터 매칭,스페셜 저지,3076,11353,37.457
1008,A/B,스페셜 저지,177575,626166,34.685
1009,분산처리,,18471,98249,24.357
1010,다리 놓기,,32267,84836,48.271
1011,Fly me to the Alpha Centauri,,21974,92465,31.34
1012,유기농 배추,,43303,161365,37.888
1013,Contact,,4113,14373,36.589
1014,컨닝,다국어,1877,7587,46.796
1015,수열 정렬,스페셜 저지,5761,13141,53.982
1016,제곱 ㄴㄴ 수,,7638,57089,21.5
1017,소수 쌍,,1962,10690,25.444
1018,체스판 다시 칠하기,,41013,103321,49.638
1019,책 페이지,,3899,15585,41.66
1020,디지털 카운터,,478,3262,28.674
1021,회전하는 큐,,19505,39969,61.056
1022,소용돌이 예쁘게 출력하기,,2897,13767,29.51
1023,괄호 문자열,,620,2863,34.969
1024,수열의 합,,4888,22261,28.407
1025,제곱수 찾기,,1714,6452,33.269
1026,보물,,30771,54703,68.375
1027,고층 건물,,2969,8366,44.573
1028,다이아몬드 광산,,1444,9328,25.026
1029,그림 교환,,1111,5362,27.908
1030,프렉탈 평면,,854,2553,45.257
1031,스타 대결,,467,3156,24.035
1032,명령 프롬프트,,16053,32915,57.583
1033,칵테일,,1054,4603,32.682
1034,램프,,1668,5351,41.379
1035,조각 움직이기,,523,1776,44.322
1036,36진수,,895,5263,23.778
1037,약수,,29281,60614,55.837
1038,감소하는 수,,6372,25750,33.895
1039,교환,,2807,16853,22.694
1040,정수,,329,2632,23.703
1041,주사위,,3986,17345,27.435
1042,움,,103,499,35.274
1043,거짓말,,8523,25005,44.731
1044,팀 선발,,242,2204,16.864
1045,도로,,313,1465,27.897
1046,그림자,스페셜 저지,69,497,27.49
1047,울타리,,218,1317,30.152
1048,유니콘,,171,775,31.608
1049,기타줄,,9074,26740,39.469
1050,물약,,199,2754,12.017
1051,숫자 정사각형,,7204,19649,43.986
1052,물병,,3629,12235,38.755
1053,팰린드롬 공장,,426,1442,37.368
1054,팰린드롬 문장,,71,526,28.4
1055,끝이없음,,145,1507,20.863
1056,수,,129,1085,20.607
1057,토너먼트,,9272,19649,57.27
1058,친구,,3667,9928,45.837
1059,좋은 구간,,3677,15957,27.983
1060,좋은 수,,202,1379,20.954
1061,삼각형,,45,605,13.889
1062,가르침,,7415,45556,25.465
1063,킹,,4341,13366,39.987
1064,평행사변형,스페셜 저지,2204,9262,31.4
1065,한수,,66356,146857,54.18
1066,에이한수,,71,224,71.0
1067,이동,,1115,4501,53.891
1068,트리,,10933,50048,28.405
1069,집으로,스페셜 저지,1156,5095,30.469
1070,김지민의 침략,,67,392,28.151
