problem_id,problem_title,problem_info,problem_answer_num,problem_submit_num,problem_answer_rate
1000,A+B,다국어,270540,981343,39.576
1001,A-B,,231055,400042,69.843
1002,터렛,,35170,205460,22.438
1003,피보나치 함수,,49445,206044,32.877
1004,어린 왕자,,14618,38791,45.862
1005,ACM Craft,,12856,70125,28.131
1006,습격자 초라기,,1987,17574,20.024
1007,벡터 매칭,스페셜 저지,3175,11745,37.388
1008,A/B,스페셜 저지,187409,663089,34.583
1009,분산처리,,19436,103242,24.318
1010,다리 놓기,,34288,90108,48.113
1011,Fly me to the Alpha Centauri,,22428,93983,31.44
1012,유기농 배추,,45900,170628,38.002
1013,Contact,,4417,15488,36.747
1014,컨닝,다국어,1973,7898,46.887
1015,수열 정렬,스페셜 저지,6201,13908,54.654
1016,제곱 ㄴㄴ 수,,8060,59573,21.638
1017,소수 쌍,,2051,10921,25.975
1018,체스판 다시 칠하기,,43573,109969,49.719
1019,책 페이지,,4119,16240,41.932
1020,디지털 카운터,,492,3362,28.738
1021,회전하는 큐,,20383,41780,61.192
1022,소용돌이 예쁘게 출력하기,,3039,14306,29.689
1023,괄호 문자열,,644,2965,34.924
1024,수열의 합,,5214,23428,28.74
1025,제곱수 찾기,,1869,6946,33.639
1026,보물,,32396,57308,68.607
1027,고층 건물,,3327,9110,45.494
1028,다이아몬드 광산,,1535,9796,25.189
1029,그림 교환,,1172,5625,27.978
1030,프렉탈 평면,,909,2749,44.978
1031,스타 대결,,497,3270,24.838
1032,명령 프롬프트,,16974,34572,57.865
1033,칵테일,,1182,5049,33.456
1034,램프,,1827,5714,42.087
1035,조각 움직이기,,553,1851,44.597
1036,36진수,,964,5598,24.052
1037,약수,,31092,64293,55.987
1038,감소하는 수,,6788,27013,34.229
1039,교환,,2926,17461,22.769
1040,정수,,342,2733,23.866
1041,주사위,,4300,18507,27.688
1042,움,,111,531,36.393
1043,거짓말,,9357,27269,45.051
1044,팀 선발,,258,2287,17.177
1045,도로,,330,1549,27.638
1046,그림자,스페셜 저지,76,523,28.679
1047,울타리,,245,1468,29.625
1048,유니콘,,175,802,31.25
1049,기타줄,,9710,28209,39.972
1050,물약,,211,2804,12.515
1051,숫자 정사각형,,7744,20790,44.657
1052,물병,,4028,13523,38.772
1053,팰린드롬 공장,,443,1498,37.702
1054,팰린드롬 문장,,73,551,28.854
1055,끝이없음,,156,1616,20.635
1056,수,,133,1145,20.945
1057,토너먼트,,9696,20523,57.386
1058,친구,,3988,10606,46.632
1059,좋은 구간,,3931,16786,28.368
1060,좋은 수,,218,1474,21.042
1061,삼각형,,45,605,13.889
1062,가르침,,7752,47338,25.612
1063,킹,,4652,14074,40.629
1064,평행사변형,스페셜 저지,2360,9790,31.538
1065,한수,,67097,148123,54.328
1066,에이한수,,73,243,69.524
1067,이동,,1178,4718,54.061
1068,트리,,11740,53386,28.6
1069,집으로,스페셜 저지,1311,5461,31.944
1070,김지민의 침략,,73,410,29.084
1071,소트,,888,4290,29.869
1072,게임,,7365,41932,24.099
1073,도미노,,144,369,56.031
1074,Z,,22143,73787,40.687
1075,나누기,,10794,22271,57.193
1076,저항,,11957,30485,46.129
1077,넓이,스페셜 저지,123,828,21.886
1078,뒤집음,,111,1758,15.7
1079,마피아,,557,3788,20.822
1080,행렬,,7359,21832,42.013
1081,합,,893,4103,41.458
1082,방 번호,,1351,5502,31.676
1083,소트,,1935,9738,27.89
1084,방 번호 2,,70,842,13.487
1085,직사각형에서 탈출,,51662,90558,64.799
1086,박성원,,1856,9590,26.394
1087,쥐 잡기,스페셜 저지,262,1480,22.922
1088,케이크,스페셜 저지,170,854,35.565
1089,스타트링크 타워,스페셜 저지,696,3359,27.84
1090,체커,,263,986,40.839
1091,카드 섞기,,829,2622,47.076
1092,배,,4761,26867,24.24
1093,스티커 수집,,126,808,21.429
1094,막대기,,18516,29636,75.241
1095,마법의 구슬,,161,1485,17.731
1096,종이 접기,,69,427,30.667
1097,마법의 문자열,,318,912,48.109
1098,쌍둥이 마을,,43,506,17.917
1099,알 수 없는 문장,,532,2388,32.779
1100,하얀 칸,,15866,26011,71.601
1101,카드 정리 1,,145,609,34.038
1102,발전소,,2284,12394,25.505
1103,게임,,3249,20431,21.317
1104,패턴,,36,394,12.587
1105,팔,,2705,10255,31.641
1106,호텔,,2830,10549,35.611
1107,리모컨,,17932,103339,23.199
1108,검색 엔진,,270,1768,19.737
1109,섬,,164,998,24.551
1110,더하기 사이클,,99007,259319,46.865
1111,IQ Test,,1938,12793,19.949
1112,진법 변환,,353,1028,44.125
1113,수영장 만들기,,1194,4663,37.035
1114,통나무 자르기,,744,4923,22.103
1115,순열,,186,700,49.206
1116,순열 2,,39,186,27.66
1117,색칠 1,,404,1821,30.468
1118,색칠 2,,13,27,59.091
1119,그래프,,85,475,22.31
1120,문자열,,9303,18972,57.697
1121,도형,,96,610,23.821
1122,뒤집기,,69,706,17.513
1123,셔플,,24,123,27.586
1124,언더프라임,,1577,5479,40.219
1125,바닥 장식,,32,359,15.764
1126,같은 탑,,1613,8582,26.322
1127,떡국,,49,158,55.056
1128,피보나치 냅색,,82,852,16.942
1129,키,,59,331,34.706
1130,종이 레이싱,,9,99,12.857
1131,숫자,,190,936,33.451
